No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"arduino uno as programmer",1600,"$10.18",76,28
2,"arduino uno or mega",140,"$8.81",46,19
3,"arduino uno vs nano",110,"$2.56",96,34
4,"arduino uno vs raspberry pi",90,"$0",37,17
5,"arduino uno and esp8266",50,"$0",38,17
6,"arduino leonardo vs uno",40,"$3.26",47,20
7,"arduino uno and nano",30,"$1.52",80,29
8,"arduino uno as keyboard",20,"$0",31,15
9,"arduino uno and nano difference",20,"$0",40,17
10,"arduino uno and genuino uno",20,"$3.40",79,29
11,"arduino uno vs arduino nano",20,"$0",36,16
12,"arduino uno vs arduino mega",20,"$0",52,21
13,"arduino uno as game controller",10,"$0","00",5
14,"arduino uno and gsm module",10,"$0",62,24
15,"arduino uno and nodemcu",10,"$0",59,23
16,"arduino uno and raspberry pi",10,"$0",40,18
17,"arduino uno and ultrasonic sensor",10,"$12.23",44,19
18,"arduino uno or mega 2560",10,"$0","00",5
19,"arduino uno as ftdi",10,"$0",43,18
20,"arduino uno vs atmega328p",10,"$0",5,7
21,"arduino uno and arduino mega",10,"$0","00",5
22,"arduino uno vs nano vs mega",10,"$0",43,18
23,"arduino uno or raspberry pi",10,"$0",67,26
24,"arduino uno vs leonardo",10,"$0",18,11
25,"arduino uno and nano pinout",10,"$0",29,14
26,"arduino uno and lcd display",10,"$0",100,36
27,"arduino uno vs due",10,"$0",43,18
28,"arduino uno or leonardo",10,"$0","00",5
29,"arduino uno and esp8266 connection",10,"$0",10,8
30,"arduino uno vs esp8266",10,"$0",54,22
31,"arduino uno vs arduino uno r3",10,"$17.10",90,33
32,"arduino uno and genuino uno price",10,"$3.47",100,36
33,"arduino uno as hid",10,"$0","00",5
34,"arduino uno as isp",10,"$0","00",5
35,"arduino uno or nano",10,"$0",63,24
36,"arduino uno vs raspberry pi 3",10,"$0",38,17
37,"arduino uno and nodemcu connection",0,"$0","00","00"
38,"arduino uno as keyboard input",0,"$0","00","00"
39,"arduino uno as bootloader",0,"$0","00","00"
40,"arduino uno versus mega",0,"$0","00","00"
41,"arduino uno as joystick",0,"$0","00","00"
42,"arduino uno as hid keyboard",0,"$0","00","00"
43,"arduino uno vs genuino uno",0,"$0","00","00"
