No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"arduino uno",49500,"$3.80",100,63
2,"arduino uno price",4400,"$4.16",100,45
3,"arduino uno pin diagram",3600,"$4.21",27,15
4,"arduino uno pinout diagram",3600,"$4.21",27,15
5,"arduino uno r3",2400,"$4.78",100,43
6,"arduino uno pinout",2400,"$4.57",31,23
7,"arduino uno projects",1900,"$8.54",91,41
8,"projects with arduino uno",1900,"$8.54",91,33
9,"what is arduino uno",1900,"$4.64",56,22
10,"arduino uno as programmer",1600,"$10.18",76,28
11,"arduino uno programming",1600,"$10.18",76,36
12,"programmer for arduino uno",1600,"$10.18",76,28
13,"arduino uno specifications",1600,"$6.30",57,31
14,"arduino uno datasheet",1600,"$6.83",48,28
15,"datasheet for arduino uno",1600,"$6.83",48,20
16,"arduino uno board",1300,"$4.24",100,44
17,"arduino uno software",1300,"$8.69",29,22
18,"arduino uno description",1000,"$13.62",34,24
19,"arduino uno cost",720,"$4.23",100,44
20,"arduino uno microcontroller",590,"$4.03",94,42
21,"arduino uno circuit diagram",590,"$3.61",59,23
22,"arduino uno schematic",590,"$1.23",30,23
23,"arduino uno wiki",480,"$0",33,23
24,"arduino uno full form",480,"$6.12",29,14
25,"arduino uno features",480,"$3.80",25,21
26,"arduino uno kit",390,"$3.46",100,44
27,"arduino uno use",390,"$4.29",41,26
28,"arduino uno block diagram",390,"$5.52",14,10
29,"arduino uno wifi",320,"$5.39",100,44
30,"arduino uno price in india",320,"$5.33",100,36
31,"wifi for arduino uno",320,"$4.51",100,36
32,"arduino uno r3 price",320,"$3.70",100,36
33,"arduino uno buy",320,"$6.38",94,42
34,"code for arduino uno",320,"$11.36",80,30
35,"arduino uno images",320,"$1.18",61,32
36,"arduino uno code",320,"$7.83",56,30
37,"arduino uno lcd interface",320,"$0",17,11
38,"arduino uno download",320,"$13.32",13,17
39,"arduino uno wifi module",260,"$5.90",100,36
40,"arduino uno amazon",260,"$3.32",100,44
41,"arduino uno diagram",260,"$0.82",31,23
42,"arduino uno working",260,"$3.88",25,21
43,"arduino uno r3 datasheet",210,"$8.42",73,28
44,"esp8266 with arduino uno",210,"$10.77",62,24
45,"arduino uno with esp8266",210,"$3.35",59,23
46,"esp8266 to arduino uno",210,"$3.35",59,23
47,"arduino uno tutorial",210,"$12.54",42,26
48,"arduino uno drivers",210,"$8.23",41,26
49,"driver for arduino uno",210,"$8.23",41,18
50,"arduino uno applications",210,"$8.39",24,21
51,"arduino uno ide",210,"$4.25",20,19
52,"arduino uno atmega328p",170,"$4.69",100,44
53,"arduino uno cable",170,"$1.45",100,44
54,"arduino uno components",170,"$7.15",39,25
55,"what is arduino uno board",170,"$6.27",39,17
56,"arduino uno basics",170,"$5.50",31,23
57,"arduino uno info",170,"$0",30,23
58,"arduino uno r3 pin diagram",170,"$0.91",23,12
59,"arduino uno meaning",170,"$1.15",20,19
60,"arduino uno information",170,"$1.10",15,18
61,"arduino uno ethernet shield",140,"$3.75",100,36
62,"arduino uno board price",140,"$3.57",100,36
63,"arduino uno ic",140,"$3.08",100,44
64,"arduino uno kit price",140,"$3.28",95,34
65,"arduino uno datasheet pdf",140,"$7.15",78,29
66,"arduino uno or mega",140,"$8.81",46,19
67,"arduino uno dimensions",140,"$0.20",44,27
68,"arduino uno ultrasonic sensor",140,"$23.91",35,16
69,"arduino uno with ultrasonic sensor",140,"$23.91",35,16
70,"arduino uno introduction",140,"$6.82",20,20
71,"arduino uno definition",140,"$0.08",18,19
72,"arduino uno architecture",140,"$0",5,15
73,"arduino uno buy online",110,"$6.24",100,36
74,"arduino uno original price in india",110,"$5.23",100,36
75,"arduino uno original",110,"$3.62",100,44
76,"arduino uno vs nano",110,"$2.56",96,34
77,"arduino uno r3 projects",110,"$3.33",92,33
78,"arduino uno input voltage",110,"$5.68",80,29
79,"arduino uno specs",110,"$3.10",47,27
80,"arduino uno based projects",110,"$3.88",32,15
81,"introduction to arduino uno",110,"$0",16,10
82,"arduino uno explanation",110,"$0",15,18
83,"arduino uno pin mapping",110,"$0",9,8
84,"arduino uno library for proteus",110,"$0",1,6
85,"arduino uno 3",90,"$3.22",100,44
86,"arduino uno usb cable",90,"$1.71",99,35
87,"arduino uno wifi rev2",90,"$6.95",92,33
88,"arduino uno connections",90,"$0.54",73,35
89,"arduino uno near me",90,"$12.50",65,25
90,"arduino uno vs raspberry pi",90,"$0",37,17
91,"arduino uno app",90,"$1.12",21,20
92,"arduino uno simulator",90,"$0",13,17
93,"arduino uno india",70,"$4.99",100,44
94,"arduino uno flipkart",70,"$4.52",100,44
95,"camera for arduino uno",70,"$2.69",100,36
96,"arduino uno camera",70,"$2.69",100,44
97,"arduino uno learning",70,"$6.26",93,41
98,"arduino uno r3 schematic",70,"$7.95",53,21
99,"arduino uno memory",70,"$0",37,25
100,"arduino uno function",70,"$0",7,16
101,"arduino uno ppt",70,"$0",5,15
102,"arduino uno shield",50,"$8.11",100,44
103,"arduino uno online",50,"$4.25",100,44
104,"arduino uno controller",50,"$2.65",100,44
105,"arduino uno 12v power supply",50,"$1.24",86,31
106,"arduino uno bootloader",50,"$0.43",79,37
107,"lcd with arduino uno",50,"$2.08",73,27
108,"arduino uno esp8266",50,"$3.68",68,34
109,"arduino uno types",50,"$4.27",60,32
110,"arduino uno and esp8266",50,"$0",38,17
111,"arduino uno digital pins",50,"$0",29,14
112,"arduino uno esp8266 connection",50,"$0",22,12
113,"arduino uno hd images",50,"$0.45",19,11
114,"arduino uno total pins",50,"$19.07",2,6
115,"arduino uno gsm module",40,"$6.54",100,36
116,"arduino uno 3d printer",40,"$9.00",94,34
117,"arduino uno smd",40,"$2.74",88,40
118,"does arduino uno have wifi",40,"$3.30",71,27
119,"drone with arduino uno",40,"$1.02",53,21
120,"arduino leonardo vs uno",40,"$3.26",47,20
121,"arduino uno weight",40,"$10.84",40,25
122,"arduino uno led projects",40,"$0",27,14
123,"arduino uno timer",40,"$0.33",21,20
124,"arduino uno software for windows 10",40,"$0",15,10
125,"arduino uno spi pins",40,"$0",12,9
126,"arduino uno mini projects",40,"$2.09",10,9
127,"arduino uno eagle library",40,"$58.11",4,7
128,"why arduino uno is used",40,"$0","00",5
129,"arduino uno nano",30,"$5.32",100,44
130,"arduino uno gps module",30,"$4.19",100,36
131,"arduino uno mega",30,"$3.24",100,44
132,"battery for arduino uno",30,"$3.14",100,35
133,"arduino uno temperature sensor",30,"$6.44",99,35
134,"arduino uno latest version",30,"$3.36",94,34
135,"arduino uno and nano",30,"$1.52",80,29
136,"arduino uno getting started",30,"$2.10",64,25
137,"arduino uno 328",30,"$2.76",61,32
138,"arduino uno versions",30,"$6.07",51,29
139,"arduino uno r3 datasheet pdf",30,"$9.23",33,15
140,"rfid with arduino uno",30,"$9.81",32,15
141,"arduino uno home automation",30,"$0",32,15
142,"arduino uno memory size",30,"$161.95",25,13
143,"arduino uno clock speed",30,"$0",24,13
144,"arduino uno pdf datasheet",30,"$423.79",24,13
145,"arduino uno operating voltage",30,"$0",23,12
146,"arduino uno usb driver",30,"$0",21,12
147,"arduino uno language",30,"$0",21,20
148,"why arduino uno",30,"$0",16,18
149,"arduino uno ram",30,"$0",10,17
150,"arduino uno library",30,"$0",8,16
151,"arduino uno frequency",30,"$0",6,15
152,"arduino uno quadcopter code",30,"$0",5,7
153,"how many sensors can be connected to arduino uno",30,"$0",2,6
154,"arduino uno interrupt pins",30,"$0",1,6
155,"arduino uno driver for windows 10",30,"$0","00",5
156,"arduino uno with cable",20,"$436.65",100,36
157,"arduino uno kit amazon",20,"$4.95",100,36
158,"arduino uno kit price in india",20,"$2.74",100,36
159,"arduino uno amazon india",20,"$1.04",100,36
160,"arduino uno for beginners",20,"$7.30",88,32
161,"arduino uno and genuino uno",20,"$3.40",79,29
162,"arduino uno manual",20,"$1.15",69,34
163,"how to power arduino uno",20,"$0",58,23
164,"arduino uno vs arduino mega",20,"$0",52,21
165,"arduino uno full details",20,"$38.57",47,20
166,"arduino uno technical specifications",20,"$12.44",46,19
167,"arduino uno supply voltage",20,"$0",45,19
168,"arduino uno hardware",20,"$5.88",42,26
169,"rtc with arduino uno",20,"$0",42,18
170,"arduino uno and nano difference",20,"$0",40,17
171,"arduino uno quadcopter",20,"$7.91",37,25
172,"arduino uno vs arduino nano",20,"$0",36,16
173,"arduino uno voltage regulator",20,"$0",31,15
174,"arduino uno as keyboard",20,"$0",31,15
175,"arduino uno voltage",20,"$0",31,23
176,"is arduino uno a microcontroller",20,"$0",24,13
177,"nodemcu with arduino uno",20,"$0",23,12
178,"arduino uno layout",20,"$0",21,20
179,"how arduino uno works",20,"$0",21,12
180,"arduino uno 4x4x4 led cube code",20,"$0",20,11
181,"arduino uno analog pins",20,"$0",16,10
182,"arduino uno ultrasonic sensor code",20,"$0",12,9
183,"arduino uno based mini projects",20,"$47.41",11,9
184,"arduino uno theory",20,"$0",10,17
185,"arduino uno output voltage",20,"$0",8,8
186,"arduino uno code for ultrasonic sensor",20,"$0",8,8
187,"arduino uno free download",20,"$0",5,7
188,"arduino uno basic information",20,"$0",1,6
189,"arduino uno vin pin",20,"$0","00",5
190,"arduino uno jumper wires",10,"$260.30",100,36
191,"arduino uno kit india",10,"$19.30",100,36
192,"arduino uno genuine",10,"$10.21",100,44
193,"arduino uno expansion board",10,"$3.88",100,36
194,"arduino uno with gsm module",10,"$3.75",100,36
195,"arduino uno and genuino uno price",10,"$3.47",100,36
196,"arduino uno 3 price",10,"$1.78",100,36
197,"arduino uno jumper settings",10,"$0",100,36
198,"arduino uno and lcd display",10,"$0",100,36
