No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,arduino uno,40500,3.6684990116,99,60
1,price of arduino uno,4400,3.6000000674000003,99,36
2,arduino uno price,4400,3.6000000674000003,99,44
3,pin diagram of arduino uno,2900,4.338266466,6,7
4,arduino uno pin diagram,2900,5.2439747282,9,8
5,arduino uno pinout diagram,2900,5.662579387199999,8,8
6,arduino uno pin,2400,4.574663933428,30,23
7,arduino uno r3,2400,3.5923890735999997,99,43
8,datasheet arduino uno,1900,6.9716703208,42,26
9,arduino uno pins,1900,4.2393235466,21,20
10,arduino uno pinout,1900,4.2393235466,21,20
11,what is the arduino uno,1900,3.615222055,34,16
12,datasheet of arduino uno,1900,5.9974631143999995,42,18
13,what is an arduino uno,1900,4.9928119328000005,35,16
14,pinout arduino uno,1900,4.2393235466,21,20
15,arduino uno datasheet,1900,6.9716703208,42,26
16,datasheet for arduino uno,1900,5.9974631143999995,42,18
17,what is arduino uno,1900,3.615222055,34,16
18,arduino uno project,1600,6.2181819346,80,38
19,arduino uno projects,1600,6.2181819346,80,38
20,arduino uno programming,1600,5.670190380999999,57,31
21,projects with arduino uno,1600,6.2181819346,80,30
22,arduino uno as programmer,1600,5.670190380999999,57,23
23,programming for arduino uno,1600,8.0524314404,60,24
24,arduino uno programmer,1600,5.670190380999999,57,31
25,programing arduino uno,1600,5.670190380999999,57,31
26,projects on arduino uno,1600,6.2181819346,80,30
27,programmer for arduino uno,1600,5.670190380999999,57,23
28,arduino uno specifications,1300,6.773784482,38,25
29,arduino uno specification,1300,5.3733616228,44,27
30,specifications of arduino uno,1300,5.3733616228,44,19
31,software for arduino uno,1300,21.9348841316,22,12
32,arduino uno software,1300,18.669767791399998,24,21
33,arduino uno board,1000,4.832981063,100,44
34,arduino uno description,880,4.1175476458,16,18
35,arduino uno cost,590,4.0186047263999995,99,43
36,microcontroller in arduino uno,480,3.4325582038,72,27
37,arduino uno features,480,0.7002114295999999,29,22
38,arduino uno with atmega328,480,5.6473573996,95,34
39,schematic of arduino uno,480,8.5775900126,33,16
40,feature of arduino uno,480,8.5928120002,27,14
41,microcontroller arduino uno,480,4.0794926768,72,35
42,features of arduino uno,480,8.5928120002,27,14
43,arduino uno circuit diagram,480,4.6350952242000005,45,19
44,arduino uno atmega328,480,7.725158707,89,40
45,arduino uno wikipedia,480,2.681885885306,29,22
46,arduino uno microcontroller,480,3.4325582038,72,35
47,about arduino uno,480,4.3915434226,33,24
48,arduino uno wiki,480,0.0,17,19
49,arduino uno schematic,480,6.4465117486,28,22
50,arduino uno used,390,5.3809726166,23,21
51,arduino uno full form,390,13.0452433732,21,12
52,arduino uno programming codes,390,6.0811840462,47,20
53,arduino uno block diagram,390,1.2786469584,6,7
54,interface lcd with arduino uno,390,7.504439886799999,27,14
55,arduino uno kits,390,4.2773785156,100,44
56,arduino uno uses,390,4.2926005032,40,26
57,block diagram of arduino uno,390,1.2786469584,6,7
58,arduino uno use,390,4.8862580196,24,21
59,arduino uno code,320,14.575053127,43,26
60,power supply for arduino uno,320,3.4782241666,100,36
61,wifi for arduino uno,320,4.5133193234,100,36
62,arduino uno coding,320,14.575053127,43,26
63,arduino uno lcd interface,320,6.6877802520600005,14,10
64,lcd interfacing with arduino uno,320,6.6900635502000005,14,10
65,arduino uno interface with lcd,320,6.6900635502000005,14,10
66,arduino uno pinout description,320,0.0,6,7
67,arduino uno buy,320,5.3733616228,100,44
68,interfacing lcd with arduino uno,320,6.938258058018,12,9
69,arduino uno price in india,320,3.8207188876,100,36
70,price of arduino uno in india,320,3.8207188876,100,36
71,arduino uno wifi,320,4.5133193234,100,44
72,arduino uno kit,320,4.8253700692,100,44
73,arduino uno india price,320,3.8207188876,100,36
74,arduino uno r3 price,320,3.8054969,100,36
75,arduino uno pin description,320,0.0,14,10
76,arduino uno codes,320,6.126850009,44,27
77,arduino uno image,320,1.179704039,60,32
78,arduino uno download,320,3.310782303,8,16
79,code for arduino uno,320,14.575053127,43,18
80,arduino uno lcd interfacing,320,2.930232613,15,10
81,arduino uno power supply,320,2.0016913694,96,35
82,power supply to arduino uno,320,3.4782241666,100,36
83,arduino uno pins description,320,0.0,14,10
84,buy arduino uno,320,5.3733616228,100,44
85,wifi module arduino uno,260,4.6959831746,99,35
86,esp8266 for arduino uno,260,4.673150193200001,63,25
87,wifi module for arduino uno,260,4.756871125,100,36
88,arduino uno amazon.in,260,1.992253737088,99,43
89,arduino uno pin diagram explanation,260,0.0,4,7
90,difference between arduino uno and nano,260,3.3792812472000002,58,23
91,working of arduino uno,260,19.6820299668,18,11
92,arduino uno images,260,1.2482029832000001,55,30
93,obstacle avoiding robot using arduino uno,260,2.7323467742000003,70,27
94,amazon arduino uno,260,3.3183932968,100,44
95,arduino uno wifi module,260,4.756871125,100,36
96,arduino uno working,260,0.0,22,20
97,arduino uno pdf,260,6.241014916,31,23
98,arduino uno software download,260,58.741650148400005,9,8
99,arduino uno amazon,260,1.9940803756,99,43
100,arduino uno pin description pdf,210,2.2376321772,7,8
101,smart dustbin using arduino uno,210,2.6486258424,10,9
102,esp8266 to arduino uno,210,3.348837272,59,23
103,how to reset arduino uno,210,0.0,2,6
104,arduino uno pin configuration,210,0.0,9,8
105,line follower robot using arduino uno and ir sensor,210,3.7522199433999996,38,17
106,arduino uno with esp8266,210,3.1813954084,51,21
107,driver for arduino uno,210,9.521353243799998,34,16
108,arduino uno tutorial,210,4.1403806272,46,28
109,arduino uno ide,210,0.0,22,20
110,arduino uno tutorials,210,4.1403806272,46,28
111,arduino uno to esp8266,210,2.8921776439999998,59,23
112,arduino uno price flipkart,210,2.6410148486000002,100,36
113,esp8266 with arduino uno,210,3.348837272,59,23
114,arduino uno drivers,210,8.2274842978,40,26
115,arduino uno application,210,10.2824526238,11,17
116,arduino uno driver,210,9.521353243799998,34,24
117,arduino uno applications,210,10.2824526238,11,17
118,applications of arduino uno,210,10.2824526238,11,9
119,how to program arduino uno,170,58.22410257,85,31
120,arduino uno wifi esp8266,170,4.1403806272,95,34
121,arduino uno advantages,170,1.2405919894,22,20
122,cable for arduino uno,170,1.4460888219999999,100,36
123,arduino uno basics,170,3.8587738566,59,31
124,parts of arduino uno,170,9.978012871799999,78,29
125,arduino uno r3 datasheet,170,8.463425105599999,60,24
126,arduino uno diagram,170,3.995771745,20,20
127,pwm pins in arduino uno,170,0.0,5,7
128,arduino uno cable,170,1.4460888219999999,100,44
129,advantage of arduino uno,170,1.2405919894,22,12
130,what is an arduino uno board,170,6.2714588912,38,17
131,arduino uno info,170,0.0,30,23
132,what is arduino uno board,170,6.2714588912,38,17
133,arduino uno meaning,170,1.1492600638000001,19,19
134,arduino uno parts,170,9.978012871799999,78,37
135,advantages of arduino uno,170,1.2405919894,22,12
136,arduino uno details,140,28.373784886400003,31,23
137,arduino uno programming pdf,140,3.3336152844,87,32
138,ethernet shield arduino uno,140,2.706926054908,100,36
139,dimensions of arduino uno,140,4.734038143599999,51,21
140,arduino uno definition,140,1.8190275182,30,23
141,arduino uno ultrasonic sensor,140,23.9061315258,35,16
142,ethernet shield for arduino uno,140,3.501057148,100,36
143,arduino uno driver windows 10,140,0.0,1,6
144,arduino uno datasheet pdf,140,7.1543341719999995,78,29
145,arduino uno components,140,6.4541227424,61,32
146,microcontroller used in arduino uno,140,13.0376323794,46,19
147,difference between arduino uno and mega,140,0.0,84,31
148,arduino uno ethernet shield,140,3.501057148,100,36
149,line follower robot using arduino uno,140,2.7551797556000004,51,21
150,arduino uno or mega,140,8.8059198266,45,19
151,arduino uno programming language,140,1.3852008716000002,59,23
152,arduino uno with ultrasonic sensor,140,23.9061315258,35,16
153,arduino uno rev3,140,13.3344611376,100,44
154,arduino uno dimensions,140,4.734038143599999,51,29
155,arduino uno architecture,140,0.0,6,16
156,arduino uno kit price,140,4.3610994474,100,36
157,arduino uno board description,140,0.0,69,26
158,arduino uno board price,140,4.5437632986,100,36
159,arduino uno atmega328p,140,10.350951568000001,100,44
160,arduino uno supports output supply voltage of,140,0.0,1,5
161,smart blind stick using arduino uno,110,3.3716702534,2,6
162,about arduino uno board,110,1.1644820514,44,19
163,arduino uno library for proteus,110,0.0,1,6
164,arduino uno r3 pinout diagram,110,8.7754758514,12,9
165,arduino uno ic,110,3.1128964642,96,43
166,arduino uno introduction,110,0.0,15,18
167,nrf24l01 arduino uno,110,2.1006342888,77,37
168,arduino uno esp8266 thingspeak code,110,0.0,1,6
169,arduino uno schematic r3,110,6.728118519200001,66,25
170,ultrasonic sensor arduino uno,110,4.5742072738,39,17
171,arduino uno projects with code,110,0.0,55,22
172,iot projects using arduino uno for beginners,110,7.306554048,39,17
173,arduino uno price amazon,110,3.3183932968,100,36
174,introduction to arduino uno,110,0.0,15,10
175,connecting esp8266 to arduino uno,110,0.0,1,6
176,projects for arduino uno r3,110,8.0143764714,97,35
177,pwm pin arduino uno,110,5.99594091564,3,7
178,pin diagram of arduino uno r3,110,0.116295985264,5,7
179,arduino uno r3 specification,110,2.1539112454,77,29
180,arduino uno specs,110,0.0,52,29
181,projects with arduino uno r3,110,8.0143764714,97,35
182,arduino uno information,110,2.6486258424,34,24
183,arduino uno r3 projects,110,8.0143764714,97,35
184,buy arduino uno online,110,6.659619575,100,36
185,arduino uno r3 specifications,110,2.1463002516,81,30
186,arduino uno pwm pins,110,0.0,5,7
187,arduino uno projects for beginners,110,4.9014800072,90,33
188,arduino uno r3 pin diagram,110,8.7754758514,12,9
189,arduino uno 3,90,4.376321435,100,44
190,arduino uno original,90,3.5771670859999998,100,44
191,arduino uno in india,90,5.9517971516,100,36
192,arduino uno simple projects,90,6.012685102,32,15
193,arduino uno input voltage,90,13.7073998338,49,20
194,arduino uno servo motor,90,17.771670523,50,21
195,arduino uno explanation,90,0.0,23,21
196,arduino uno original price,90,3.0976744766,100,36
197,arduino uno vs mega,90,0.0,88,32
198,arduino uno pin mapping,90,0.0,2,6
199,arduino uno buy online,90,4.2317125527999995,100,36
200,servo motor arduino uno,90,1.9331924252,68,26
201,arduino uno bluetooth,90,2.6410148486000002,94,42
202,specification arduino uno,90,2.91919667199,62,32
203,simple arduino uno projects,90,6.012685102,32,15
204,servo motor with arduino uno,90,17.771670523,50,21
205,arduino uno software free download,90,27.0799159404,16,10
206,arduino uno based project,90,2.9378436068,40,18
207,arduino uno vs raspberry pi,90,10.465116475,68,26
208,original arduino uno price,90,3.0976744766,100,36
209,arduino uno starter kit,90,4.1327696334,100,36
210,simple projects with arduino uno,90,6.012685102,32,15
211,starter kit for arduino uno,90,5.670190380999999,98,35
