No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"37 in 1 sensor kit",70,"$1.10",98,35
2,"37 in 1 sensor kit for arduino",40,"$0.32",69,26
3,"37 in 1 sensor kit for arduino pdf",20,"$0",46,19
4,"37 in 1 sensor module kit for arduino",10,"$208.77",100,36
5,"keyes 37 in 1 sensor kit",10,"$1.19",100,36
6,"37 in 1 sensor kit arduino",10,"$0",57,23
7,"37 in 1 sensor module board set kit for arduino",10,"$0",43,18
8,"elegoo 37-in-1 sensor module kit",10,"$2.20",33,15
9,"37 in 1 sensor kit for arduino code",10,"$0.39",32,15
10,"arduino 37 in 1 sensor kit pdf",10,"$0",29,14
11,"37 in 1 sensor kit for raspberry pi",10,"$0","00",5
12,"elegoo upgraded 37 in 1 sensor modules kit",10,"$0","00",5
13,"37 in 1 sensor kit pdf",10,"$0","00",5
14,"37-in-1 sensor modules kit",10,"$0","00",5
15,"37 in 1 sensor kit for arduino manual",10,"$0","00",5
16,"elegoo 37-in-1 sensor kit v2.0",0,"$0","00","00"
17,"inland 37 in 1 sensor kit",0,"$0","00","00"
18,"duinotech 37 in 1 sensor kit",0,"$0","00","00"
19,"duinotech 37 in 1 sensor kit xc4288-manualmain.pdf",0,"$0","00","00"
20,"elegoo 37-in-1 sensor module kit v1.0",0,"$0","00","00"
21,"37 in 1 sensor kit tutorial",0,"$0","00","00"
22,"elegoo 37-in-1 sensor module kit pdf",0,"$0","00","00"
23,"elegoo upgraded 37 in 1 sensor modules kit v2.0",0,"$0","00","00"
24,"kuman 37-in-1 sensor kit",0,"$0","00","00"
25,"elegoo 37-in-1 sensor kit",0,"$0","00","00"
26,"keyes 37 in 1 sensor kit for arduino",0,"$0","00","00"
27,"elegoo 37-in-1 sensor kit v1.0",0,"$0","00","00"
28,"37 in 1 sensor kit projects",0,"$0","00","00"
29,"keyes 37 in 1 sensor starter kit for arduino",0,"$0","00","00"
30,"37 in 1 sensor kit list",0,"$0","00","00"
31,"elektor's arduino 37 in 1 sensor kit",0,"$0","00","00"
32,"37-in-1 sensor kit guide pdf",0,"$0","00","00"
33,"37 in 1 box sensor kit for arduino",0,"$0","00","00"
