No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"37 in 1 sensor kit",70,"$1.10",98,35
2,"37 in 1 sensor kit for arduino pdf",20,"$0",46,19
3,"37 in 1 sensor kit for arduino",40,"$0.32",69,26
4,"37 in 1 sensor kit for raspberry pi",10,"$0","00",5
5,"37 in 1 sensor kit pdf",10,"$0","00",5
6,"37 in 1 sensor kit for arduino code",10,"$0.39",32,15
7,"37 in 1 sensor kit for arduino manual",10,"$0","00",5
8,"37 in 1 sensor kit tutorial",0,"$0","00","00"
9,"37 in 1 sensor kit projects",0,"$0","00","00"
10,"37-in-1 sensor kit guide pdf",0,"$0","00","00"
