No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"projects with arduino starter kit",70,"$6.65",93,33
2,"projects for arduino starter kit",70,"$6.65",93,33
3,"screws for arduino starter kit",0,"$0","00","00"
4,"components in arduino starter kit",10,"$0",76,28
5,"price for arduino starter kit",0,"$0","00","00"
6,"capacitors in arduino starter kit",0,"$0","00","00"
7,"price of arduino starter kit",0,"$0","00","00"
8,"contents of arduino starter kit",0,"$0","00","00"
9,"cool projects with arduino starter kit",0,"$0","00","00"
10,"uniroi for arduino starter kit",0,"$0","00","00"
11,"parts of arduino starter kit",0,"$0","00","00"
