No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"arduino mega",5400,"$4.35",100,49
2,"arduino mega 2560",1900,"$10.17",100,44
3,"arduino mega pinout",880,"$3.13",32,23
4,"arduino mega price",720,"$5.43",100,44
5,"arduino mega 2560 pinout",320,"$4.15",50,20
6,"arduino mega pin diagram",320,"$3.43",21,12
7,"arduino mega 2560 datasheet",260,"$5.61",68,26
8,"arduino mega specifications",210,"$5.49",89,40
9,"arduino mega datasheet",210,"$6.07",51,29
10,"arduino mega 2560 price",170,"$5.22",100,36
11,"arduino mega 2560 schematic",170,"$4.67",42,18
12,"arduino mega board",110,"$3.89",99,43
13,"arduino mega vs uno",90,"$5.77",97,35
14,"arduino mega projects",90,"$1.38",70,34
15,"arduino mega schematic",90,"$0",29,22
16,"arduino mega pwm pins",90,"$0",18,11
17,"arduino mega wikipedia",90,"$0",6,15
18,"arduino mega 2560 r3",70,"$12.37",100,35
19,"arduino mega interrupt pins",70,"$0",4,7
20,"arduino mega spi pins",70,"$0",2,6
21,"arduino mega cost",50,"$8.77",100,44
22,"arduino mega amazon",50,"$5.55",100,44
23,"arduino mega adk",50,"$8.48",92,41
24,"arduino mega vs due",50,"$3.85",80,29
25,"arduino mega 2560 projects",50,"$8.40",44,19
26,"driver for arduino mega 2560",50,"$0",34,16
27,"arduino mega pin configuration",50,"$0",5,7
28,"arduino mega shield",40,"$5.59",100,44
29,"arduino mega specs",40,"$0",72,35
30,"arduino mega microcontroller",40,"$9.84",69,34
31,"arduino mega features",40,"$11.19",19,19
32,"arduino mega dimensions",40,"$8.30",10,17
33,"arduino mega original",30,"$572.44",100,44
34,"arduino mega ethernet shield",30,"$2.83",100,36
35,"arduino mega wifi",30,"$4.24",94,42
36,"arduino mega ic",30,"$0",85,39
37,"arduino mega power supply",30,"$2.33",63,24
38,"esp8266 with arduino mega",30,"$0",56,22
39,"arduino mega description",30,"$0",56,30
40,"arduino mega esp8266",30,"$2.29",47,28
41,"arduino mega images",30,"$2.80",39,25
42,"lcd to arduino mega",30,"$4.08",33,15
43,"lcd with arduino mega",30,"$4.08",33,15
44,"arduino mega serial ports",30,"$0",29,14
45,"what is arduino mega",30,"$0",24,13
46,"arduino mega pin mapping",30,"$0",9,8
47,"arduino mega original india",20,"$8.31",100,36
48,"arduino mega india",20,"$8.08",100,44
49,"arduino mega kit",20,"$5.80",100,44
50,"arduino mega driver",20,"$0",50,29
51,"arduino mega memory",20,"$0",39,25
52,"arduino mega input voltage",20,"$0",34,16
53,"arduino mega pwm frequency",20,"$15.33",25,13
54,"arduino mega timer",20,"$0",21,20
55,"arduino mega spi",20,"$0",16,18
56,"arduino mega diagram",20,"$0",13,17
57,"arduino mega circuit diagram",20,"$0",13,9
58,"arduino mega information",20,"$0",7,16
59,"arduino mega i2c pins",20,"$0",7,8
60,"arduino mega memory size",20,"$0",3,6
61,"arduino mega online",10,"$642.09",100,44
62,"arduino mega expansion board",10,"$502.22",100,36
63,"arduino mega motor shield",10,"$418.68",100,36
64,"arduino mega without headers",10,"$393.24",100,36
65,"arduino mega with ramps 1.4 controller",10,"$229.32",100,36
66,"arduino mega breakout board",10,"$189.08",100,36
67,"arduino mega for sale",10,"$140.80",100,36
68,"arduino mega touch screen",10,"$108.26",100,36
69,"arduino mega case",10,"$79.74",100,44
70,"arduino mega 3d printer",10,"$11.75",100,36
71,"arduino mega 2560 india",10,"$8.53",100,36
72,"arduino mega board specifications",10,"$8.08",100,36
73,"arduino mega wifi shield",10,"$8.02",100,36
74,"arduino mega 3d printer shield",10,"$4.28",100,36
75,"arduino mega cnc shield",10,"$3.79",100,36
76,"arduino mega nano",10,"$2.04",100,44
77,"cnc with arduino mega 2560",10,"$1.21",100,36
78,"arduino mega ramps 1.4",10,"$0.81",100,36
79,"arduino mega development board",10,"$0",100,36
80,"arduino mega 16u2",10,"$0",100,44
81,"arduino mega 3.3v output",10,"$0",100,36
82,"arduino mega 12v power supply",10,"$0",100,36
83,"arduino mega usb host",10,"$0",100,36
84,"arduino mega near me",10,"$0",100,36
85,"arduino mega 5v",10,"$0",100,44
