No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,arduino mega,5400,4.3458701,99,49
1,arduino mega 2560,1900,10.416412424999999,100,44
2,arduino mega pin,880,2.8567258,23,20
3,arduino mega pins,880,3.1302421,31,23
4,pinout arduino mega,880,3.1302421,31,23
5,arduino mega pinout,880,3.1302421,31,23
6,arduino mega price,720,5.432337624999999,100,44
7,price of arduino mega,720,5.432337624999999,100,36
8,arduino mega 2560 pinout,320,4.14833055,49,20
9,arduino mega pin diagram,320,3.426551425,20,12
10,arduino mega 2560 datasheet,260,5.614681824999999,68,26
11,datasheet arduino mega,210,6.070542325,51,29
12,arduino mega specifications,210,5.48552135,88,40
13,arduino mega data sheet,210,6.070542325,51,21
14,arduino mega 2560 schematic,170,4.672570125,42,18
15,arduino mega 2560 pin diagram,170,11.586454374999999,13,9
16,arduino mega 2560 price,170,5.219602725,100,36
17,arduino mega 2560 tutorial,110,0.888927975,28,14
18,arduino mega 2560 specifications,110,3.502528175,79,29
19,arduino mega board,110,3.8900096,98,43
20,arduino mega schematic,90,0.0,29,22
21,arduino mega with wifi,90,2.75035835,100,36
22,arduino mega vs uno,90,5.774233,96,35
23,arduino mega project,90,1.38277685,69,34
24,arduino mega pwm pins,90,0.0,18,11
25,arduino mega projects,90,1.38277685,69,34
26,arduino mega wikipedia,90,0.0,5,15
27,pwm pin arduino mega,90,0.0,16,11
28,arduino mega 2560 wiki,90,20.5137225,9,8
29,program arduino mega 2560,70,11.341429356249998,52,21
30,arduino mega spi pins,70,0.0,2,6
31,arduino mega 2560 pdf,70,6.45802375,53,22
32,arduino mega 2560 r3,70,12.3690149,99,35
33,arduino mega interrupt pins,70,0.0,4,7
34,programming arduino mega 2560,70,4.3675994505,28,14
35,arduino mega 2560 pin mapping pdf,50,6.678356325,10,9
36,arduino mega 2560 projects pdf,50,10.424010099999999,59,23
37,arduino mega pin configuration,50,0.0,4,7
38,arduino mega vs due,50,3.8488302014999998,79,29
39,arduino mega 2560 projects,50,8.395430874999999,44,19
40,arduino mega wiki,50,0.0,9,16
41,arduino mega 2560 datasheet pdf,50,6.2604842,21,12
42,buy arduino mega,50,5.629877175,97,43
43,arduino mega 2560 driver,50,12.072705575,51,21
44,driver for arduino mega 2560,50,0.0,33,16
45,shields for arduino mega,50,5.647883664749999,100,36
46,arduino mega amazon,50,5.54630275,100,44
47,shield for arduino mega,50,5.722264902999999,100,36
48,arduino mega cost,50,8.76771695,100,44
49,arduino mega adk,50,8.4790053,92,41
50,arduino mega price in india,50,3.90520495,100,36
51,arduino mega shields,40,5.8957958,100,44
52,arduino mega microcontroller,40,9.838989125,68,34
53,arduino mega features,40,11.187576437499999,19,19
54,arduino mega 2560 pin description pdf,40,0.0,15,10
55,arduino mega shield,40,5.5918887999999995,100,44
56,original arduino mega,40,3.6460482557499994,100,44
57,arduino mega wifi,30,4.23950265,93,42
58,arduino mega 2560 features,30,807.2812076008939,38,17
59,arduino mega 2560 rev3,30,13.075598675,100,36
60,what is arduino mega,30,0.0,23,13
61,arduino mega original,30,572.4417094682717,100,44
62,lcd with arduino mega,30,4.0818508937499995,33,15
63,lcd to arduino mega,30,4.0818508937499995,33,15
64,arduino mega 2560 pinout pdf,30,7.134216824999999,16,10
65,sd card with arduino mega,30,7.6617993769999995,85,31
66,arduino mega original price,30,7.529295924999999,100,36
67,arduino mega power supply,30,2.332486225,62,24
68,arduino mega ethernet shield,30,2.8263350999999997,100,36
69,arduino mega board 2560,30,5.4744287445,100,36
70,arduino mega pin mapping,30,0.0,8,8
71,arduino mega description,30,0.0,55,30
72,arduino mega images,30,2.803542075,38,25
73,arduino mega 2560 r3 price in india,30,3.3125863,100,36
74,arduino mega ic,30,0.0,85,39
75,arduino mega serial ports,30,0.0,28,14
76,arduino mega 2560 microcontroller,30,2818.796742998459,64,25
77,arduino mega pdf,20,0.0,9,16
78,arduino mega timers,20,0.0,13,18
79,arduino mega 2560 original,20,0.0,100,36
80,arduino mega i2c pins,20,0.0,7,8
81,difference between arduino uno and arduino mega,20,0.0,2,6
82,arduino mega original india,20,8.312084380249999,100,36
83,arduino mega i2c,20,0.0,32,23
84,arduino mega 2560 driver windows 7,20,1.1168582249999999,3,6
85,arduino mega 2560 specifications pdf,20,6.964408788749999,47,20
86,arduino mega 2560 tutorial pdf,20,0.0,13,9
87,arduino mega pwm frequency,20,15.33210815,25,13
88,arduino mega r3,20,14.08608945,96,43
89,arduino mega controller,20,571.3401481361868,80,38
