No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"arduino nano vs uno",170,"$6.05",99,35
2,"arduino nano vs mini",30,"$0",72,27
3,"arduino nano vs micro",30,"$3.21",33,15
4,"arduino nano vs pro mini",30,"$285.49",42,18
5,"arduino micro vs nano",30,"$3.21",33,15
6,"arduino nano and bluetooth module",10,"$0",9,8
7,"arduino nano vs esp8266",10,"$0",11,9
8,"arduino nano as programmer",10,"$0","00",5
9,"arduino nano as hid",10,"$0",21,12
10,"arduino nano vs uno pinout",10,"$0",59,23
11,"arduino nano vs pro micro",10,"$0","00",5
12,"arduino nano as usb keyboard",10,"$0","00",5
13,"arduino nano vs mega",10,"$0",79,29
14,"arduino nano vs micro vs mini",10,"$0",57,23
15,"arduino nano and uno difference",10,"$0",93,33
16,"arduino nano vs nodemcu",10,"$0",33,15
17,"arduino nano and nrf24l01",10,"$0",29,14
18,"arduino nano or pro mini",10,"$0",71,27
19,"arduino nano as keyboard",10,"$0","00",5
20,"arduino nano as isp programmer",10,"$0","00",5
21,"arduino nano or uno",10,"$0",11,9
22,"arduino nano as ftdi",10,"$0","00",5
23,"arduino nano and esp8266",10,"$0",29,14
24,"arduino nano as isp",10,"$0",34,16
25,"arduino nano vs uno pins",0,"$0","00","00"
26,"arduino nano or micro",0,"$0","00","00"
27,"arduino nano and lcd display",0,"$0","00","00"
28,"arduino nano as uart",0,"$0","00","00"
29,"arduino nano and nodemcu",0,"$0","00","00"
30,"arduino nano and esp-01",0,"$0","00","00"
31,"arduino nano and mpu6050",0,"$0","00","00"
32,"arduino nano versus uno",0,"$0","00","00"
33,"arduino nano and servo",0,"$0","00","00"
34,"arduino nano as joystick",0,"$0","00","00"
35,"arduino nano and ultrasonic sensor",0,"$0","00","00"
36,"arduino nano and arduino uno",10,"$0","00",5
37,"arduino nano or mini",10,"$0",45,19
38,"arduino nano and esp8266 connection",0,"$0","00","00"
39,"arduino nano as hid keyboard",0,"$0","00","00"
40,"arduino nano vs pro mini pinout",0,"$0","00","00"
