No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,arduino nano,12100,2.2185211,99,51
1,pinout arduino nano,1600,3.411356075,37,25
2,arduino nano price,1600,3.061863025,99,43
3,arduino nano pin diagram,880,5.622279499999999,29,14
4,arduino nano data sheet,480,6.723942374999999,58,23
5,datasheet arduino nano,480,6.723942374999999,58,31
6,arduino nano projects,480,5.1968097,89,40
7,arduino nano project,480,5.1968097,89,40
8,arduino nano datasheet,480,6.723942374999999,58,31
9,arduino nano drivers,320,117.30050432499999,31,23
10,arduino nano pins,320,3.669677025,34,24
11,arduino nano pin,320,3.669677025,34,24
12,driver for arduino nano,320,117.30050432499999,31,15
13,arduino nano driver,320,117.30050432499999,31,23
14,driver arduino nano,320,117.30050432499999,31,23
15,arduino nano schematic,260,1.3295931250000002,44,27
16,arduino nano program,260,4.535811975,78,37
17,programming arduino nano,260,4.535811975,78,37
18,arduino nano programming,260,4.535811975,78,37
19,arduino nano programmer,260,4.535811975,78,37
20,arduino nano pwm pins,210,0.0,15,10
21,arduino nano cable,210,1.9753954999999999,100,44
22,arduino nano how to program,210,2.936957248,49,20
23,arduino nano specifications,210,8.1447076,66,34
24,arduino nano board,210,2.6743816,100,44
25,arduino nano wiki,210,4.885305024999999,44,27
26,arduino nano boards,170,3.441746775,100,44
27,arduino nano vs uno,170,6.0477492999999996,98,35
28,nrf24l01 arduino nano,140,1.2384210249999998,46,28
29,what is arduino nano,140,1.823442,41,18
30,arduino nano v3,110,2.4920374,100,44
31,buy arduino nano,110,4.23950265,98,43
32,arduino nano microcontroller,110,3.7456537749999996,97,43
33,arduino nano tutorial,110,0.0,14,18
34,arduino nano price india,110,1.375179175,99,35
35,arduino nano amazon,90,1.0636744999999999,100,44
36,arduino nano 33 iot,90,5.7134516,100,36
37,arduino nano description,90,7.597675,26,21
38,arduino nano power supply,90,20.43774575,67,26
39,microcontroller arduino nano,90,2.7883467250000002,95,42
40,arduino nano pin description,90,0.0,22,12
41,arduino nano circuit diagram,70,1.618304775,29,14
42,arduino nano price amazon,70,2.9251048749999997,91,33
43,arduino nano atmega328,70,1.96020015,100,44
44,pwm pins in arduino nano,70,0.0,2,6
45,arduino nano shields,70,2.530025775,100,44
46,arduino nano images,70,0.596265534,39,25
47,arduino nano atmega 328,70,1.3735076865,97,35
48,arduino nano pdf,70,9.7858054,25,21
49,usb cable for arduino nano,70,0.0293270255,58,23
50,arduino nano pin numbers,70,0.0,8,8
51,arduino nano voltage input,70,2.8567258,39,17
52,arduino nano ch341 driver,70,2.3856699499999996,5,7
53,arduino nano driver ch340,50,0.0,40,18
54,arduino nano specs,50,5.439935299999999,66,34
55,arduino nano with bluetooth,50,3.8755740175,81,30
56,problem uploading to board arduino nano,50,0.0,19,11
57,arduino nano spi pins,50,0.0,3,7
58,arduino nano wifi,50,8.7221309,100,44
59,arduino nano ch340 driver,50,0.0,40,18
60,propeller clock using arduino nano,50,47.538652475,3,7
61,arduino nano 33,50,7.7524396397499995,99,43
62,arduino nano driver download,40,0.0,3,7
