No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"arduino pro mini",1900,"$3.81",95,42
2,"arduino pro mini pinout",320,"$15.58",48,20
3,"arduino pro mini programming",140,"$2.95",78,29
4,"arduino pro mini datasheet",70,"$0",28,14
5,"arduino pro mini schematic",70,"$3.85",16,10
6,"arduino pro mini 5v",40,"$7.91",100,36
7,"arduino pro mini 3.3v",40,"$4.97",100,35
8,"arduino pro mini vs nano",30,"$0",33,16
9,"arduino pro mini as isp",10,"$0","00",5
10,"arduino pro mini vs micro",10,"$0",14,10
11,"arduino pro mini vs uno",10,"$0",24,13
12,"arduino pro mini vs nano vs micro",10,"$0",64,25
13,"arduino pro mini 3.3 or 5",10,"$0",100,36
14,"arduino pro mini vs nano size",10,"$0",11,9
15,"arduino pro mini vs uno r3",10,"$0","00",5
16,"arduino pro mini vs mini",10,"$0","00",5
17,"arduino pro mini vs arduino uno",10,"$0",32,15
18,"arduino pro mini 5v or 3.3v",10,"$0",86,31
19,"arduino pro mini and esp8266",0,"$0","00","00"
20,"arduino pro mini or nano",0,"$0","00","00"
21,"arduino pro mini vs nano power consumption",0,"$0","00","00"
22,"arduino pro mini vs nano v3",0,"$0","00","00"
23,"arduino pro mini as programmer",0,"$0","00","00"
24,"arduino pro mini as keyboard",0,"$0","00","00"
25,"arduino pro mini and nrf24l01",0,"$0","00","00"
26,"arduino pro mini vs leonardo",0,"$0","00","00"
27,"arduino pro mini as hid",0,"$0","00","00"
28,"arduino pro mini vs mega",0,"$0","00","00"
29,"arduino pro mini 3.3 or 5v",0,"$0","00","00"
30,"arduino pro mini vs esp8266",0,"$0","00","00"
31,"arduino pro mini vs nano pinout",0,"$0","00","00"
32,"arduino pro mini and nano",0,"$0","00","00"
