No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"ftdi to arduino pro mini",20,"$4.30",64,25
2,"connect ftdi to arduino pro mini",10,"$0",18,11
3,"programmer for arduino pro mini",10,"$0",86,31
4,"battery for arduino pro mini",10,"$0",81,30
5,"nrf24l01 to arduino pro mini",0,"$0","00","00"
6,"upload code to arduino pro mini",0,"$0","00","00"
7,"usb for arduino pro mini",0,"$0","00","00"
8,"ftdi for arduino pro mini",0,"$0","00","00"
9,"nrf24l01 with arduino pro mini",0,"$0","00","00"
10,"esp8266 to arduino pro mini",0,"$0","00","00"
11,"mpu6050 with arduino pro mini",0,"$0","00","00"
12,"bootloader for arduino pro mini",0,"$0","00","00"
13,"projects with arduino pro mini",0,"$0","00","00"
14,"replacement for arduino pro mini",0,"$0","00","00"
15,"cp2102 to arduino pro mini",0,"$0","00","00"
16,"driver for arduino pro mini",0,"$0","00","00"
17,"upload sketch to arduino pro mini",0,"$0","00","00"
18,"esp8266 with arduino pro mini",0,"$0","00","00"
19,"upload to arduino pro mini",0,"$0","00","00"
20,"pins for arduino pro mini",0,"$0","00","00"
21,"regulator for arduino pro mini",0,"$0","00","00"
22,"display for arduino pro mini",0,"$0","00","00"
