No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"how to program arduino pro mini with uno",10,"$0",6,7
2,"what is arduino pro mini",10,"$488.36",33,16
3,"how to power arduino pro mini",10,"$0",75,28
4,"how to connect arduino pro mini to pc",10,"$0",3,6
5,"how to use arduino pro mini",10,"$0",7,8
6,"how to code arduino pro mini",0,"$0","00","00"
7,"why arduino pro mini retired",0,"$0","00","00"
8,"how to flash arduino pro mini",0,"$0","00","00"
9,"how to upload arduino pro mini",0,"$0","00","00"
10,"how to program arduino pro mini with ftdi",0,"$0","00","00"
11,"can't upload to arduino pro mini",0,"$0","00","00"
12,"why is arduino pro mini retired",0,"$0","00","00"
13,"which programmer for arduino pro mini",0,"$0","00","00"
14,"how program arduino pro mini",0,"$0","00","00"
15,"how to arduino pro mini",0,"$0","00","00"
