No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,arduino pro mini,1600,4.301914181,100,44
1,arduino pro mini pinout,320,15.5782591404,48,20
2,pinout arduino pro mini,320,1.6431027969199998,31,15
3,arduino pro mini programming,140,2.9542348712,78,29
4,arduino pro mini programmer,140,2.9542348712,78,29
5,arduino pro mini how to program,140,3.8373074494519996,65,25
6,programming arduino pro mini,140,3.1598130710000003,75,28
7,arduino pro mini price,110,3.5481274484000003,94,34
8,arduino pro mini schematic,70,3.8450737370000003,15,10
9,how to program arduino pro mini,70,4.4237382994,7,8
10,arduino pro mini datasheet,70,0.0,28,14
11,arduino pro mini projects,70,3.8450737370000003,35,16
12,arduino pro mini programming with uno,50,0.0,11,9
13,arduino pro mini 5v,40,7.9109536886,100,36
14,arduino pro mini pin diagram,30,0.0,10,9
15,arduino pro mini vs nano,30,0.0,33,16
16,arduino pro mini dimensions,30,3.59305009206,64,25
17,arduino pro mini pinout pdf,30,0.0,1,5
18,arduino pro mini 328,20,4.4465803216,100,36
19,arduino pro mini power supply,20,0.0,23,13
20,arduino pro mini specifications,20,7.370892143718001,38,17
21,arduino pro mini atmega328p,20,3.4263033299999996,87,32
22,arduino pro mini price in india,20,28.3164935206,100,36
23,arduino pro mini buy,20,319.3920528448262,100,36
24,ftdi to arduino pro mini,20,4.30305628211,64,25
25,buy arduino pro mini,20,8.5048462658,100,36
26,arduino pro mini vs arduino nano,20,656.1310538589557,54,22
27,arduino pro mini size,20,2.32684066144,100,36
28,arduino pro mini pins,20,587.509202301158,36,17
29,arduino pro mini software serial,10,0.0,1,5
30,arduino pro mini as isp,10,0.0,1,5
31,arduino pro mini red led,10,0.0,1,5
32,arduino pro mini wifi,10,68.7697148368,30,15
33,mpu6050 arduino pro mini,10,0.0,50,21
34,using arduino pro mini,10,0.0,1,5
35,kicad arduino pro mini,10,0.0,1,5
36,arduino pro mini driver,10,2.176159454994,50,21
37,arduino pro mini ftdi programmer,10,0.0,1,5
38,arduino pro mini getting started,10,0.0,1,5
39,arduino pro mini 5v schematic,10,0.0,23,13
40,arduino pro mini eagle,10,0.0,69,26
41,arduino pro mini 5v output,10,0.0,1,5
42,arduino pro mini shield,10,0.0,100,36
43,arduino pro mini board,10,182.90912263324097,100,36
44,arduino pro mini 168 vs 328,10,0.0,1,5
45,arduino pro mini nrf24l01,10,0.0,23,13
46,arduino pro mini wiring,10,0.0,1,5
47,arduino pro mini current,10,0.0,1,5
48,arduino pro mini vcc,10,7.409114460866,76,28
49,arduino pro mini specification,10,0.0,85,31
50,how to program arduino pro mini with uno,10,0.0,5,7
51,arduino pro mini voltage regulator,10,0.0,1,5
52,arduino pro mini rx tx pins,10,0.0,52,21
53,arduino pro mini adc,10,0.0,1,5
54,arduino pro mini example,10,0.0,1,5
55,programmer for arduino pro mini,10,0.0,85,31
56,arduino pro mini 5v 16 mhz,10,0.0,100,36
57,arduino pro mini alternative,10,0.0,71,27
58,arduino pro mini vs nano vs micro,10,0.0,64,25
59,arduino pro mini 3v3,10,0.0,100,36
60,arduino pro mini kit,10,3.842332694336,95,34
61,arduino pro mini analog pins,10,0.0,30,15
62,arduino pro mini ebay,10,0.0,1,5
63,eagle arduino pro mini,10,0.0,1,5
64,arduino pro mini usb host,10,0.0,1,5
65,arduino pro mini kicad,10,0.0,78,29
66,arduino pro mini layout,10,0.0,21,12
67,arduino pro mini low power,10,0.0,33,16
68,arduino pro mini atmega328p pinout,10,0.0,8,8
69,arduino pro mini output current,10,0.0,1,5
70,arduino pro mini neopixel,10,0.0,1,5
71,arduino pro mini uart,10,0.0,14,10
72,arduino pro mini i2c pins,10,0.0,7,8
73,arduino pro mini mpu6050,10,0.0,1,5
74,arduino pro mini upload code,10,0.0,11,9
75,arduino pro mini footprint,10,0.0,52,21
76,arduino pro mini atmega328 datasheet,10,167.26583774114158,71,27
77,arduino pro mini voltage input,10,0.0,1,5
78,arduino pro mini ethernet shield,10,0.0,1,5
79,arduino pro mini description,10,0.0,53,22
80,arduino pro mini specs,10,0.0,62,24
81,arduino nano vs arduino pro mini,10,0.0,1,5
82,arduino pro mini lcd 16x2,10,0.0,7,8
83,arduino pro mini bom,10,1.047382857944,100,36
84,arduino pro mini regulator,10,0.0,1,5
