No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"projects with arduino uno",1900,"$8.54",91,33
2,"what is arduino uno",1900,"$4.64",56,22
3,"datasheet for arduino uno",1600,"$6.83",48,20
4,"programmer for arduino uno",1600,"$10.18",76,28
5,"code for arduino uno",320,"$11.36",80,30
6,"wifi for arduino uno",320,"$4.51",100,36
7,"driver for arduino uno",210,"$8.23",41,18
8,"esp8266 with arduino uno",210,"$10.77",62,24
9,"esp8266 to arduino uno",210,"$3.35",59,23
10,"introduction to arduino uno",110,"$0",16,10
11,"arduino uno near me",90,"$12.50",65,25
12,"camera for arduino uno",70,"$2.69",100,36
13,"lcd with arduino uno",50,"$2.08",73,27
14,"drone with arduino uno",40,"$1.02",53,21
15,"rfid with arduino uno",30,"$9.81",32,15
16,"battery for arduino uno",30,"$3.14",100,35
17,"rtc with arduino uno",20,"$0",42,18
18,"nodemcu with arduino uno",20,"$0",23,12
19,"for arduino uno",10,"$0",29,22
20,"esp8266 to arduino uno connection",10,"$0","00",5
21,"oled with arduino uno",10,"$0",76,28
22,"lcd to arduino uno",10,"$0",33,15
23,"nodemcu to arduino uno",10,"$0",16,10
24,"lcd to arduino uno connection",10,"$0",14,10
25,"rs232 to arduino uno",10,"$0.22",93,33
26,"grbl for arduino uno",10,"$0",17,11
27,"is arduino uno a microcontroller or microprocessor",0,"$0","00","00"
28,"for arduino uno mega",0,"$0","00","00"
29,"with arduino uno",0,"$0","00","00"
30,"nrf24l01 to arduino uno",0,"$0","00","00"
31,"is arduino uno reprogrammable",0,"$0","00","00"
