No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,esp32,6600,11.315364703199998,82,57
1,esp32 pinout,1300,2.8970973971999996,24,26
2,esp32 cam,880,2.9805216677999997,100,49
3,esp32 datasheet,720,7.675032895199999,92,46
4,esp32 arduino,590,4.8765278177999996,98,48
5,arduino esp32,590,4.8765278177999996,98,48
6,nodemcu esp32,480,4.095373284,100,49
7,esp32 camera,480,2.4572239704,100,49
8,node mcu esp32,480,4.095373284,100,44
9,esp32 projects,390,3.6934199802,61,37
10,esp32 pinout diagram,320,6.560181278999999,11,17
11,esp32 pin diagram,320,6.560181278999999,11,17
12,esp32 wroom,260,28.356667979399997,100,49
13,esp32 vs esp8266,260,4.7551834242,100,44
14,esp32 module,260,5.8700350403999995,100,49
15,bluetooth esp32,210,4.838607694799999,91,46
16,esp32 wroom 32,210,12.468136442399999,100,44
17,esp32 bluetooth,210,4.838607694799999,91,46
18,micropython esp32,210,9.487614774599999,100,49
19,esp32 price,210,4.664175128999999,100,49
20,esp32 micropython,210,9.487614774599999,100,49
21,esp32 wroom 32d,210,27.404114489639998,100,44
22,esp32 board,170,4.6717591536,100,49
23,esp32 programming,170,7.242743493,88,45
24,esp32 development board,170,6.772533967799999,100,44
25,esp32 nodemcu,170,9.4496946516,100,49
26,esp32 specification,140,9.6999674634,98,48
27,esp32 wroom pinout,140,4.0422851118,34,24
28,esp32 cam pinout,140,3.5189874143999993,29,22
29,esp32 wrover,140,12.839753647799999,100,49
30,esp32 specs,140,9.6999674634,98,48
31,esp32 camera module,140,1.7594937071999996,99,43
32,esp8266 vs esp32,140,3.9285247427999996,78,37
33,esp32 idf,110,0.0,5,20
34,buy esp32,110,18.9600615,100,49
35,espressif esp32,110,18.3457555074,100,49
36,esp32 sim800l,110,1.9794304206,99,48
37,esp32 devkit v1,110,3.7010040047999997,100,44
38,esp32 where to buy,110,18.961805825657997,100,36
39,esp32 arduino ide,110,0.0,14,18
40,esp32 buy,110,9.6241272174,100,49
41,esp32 pins,110,3.5796596111999994,29,27
42,esp32 wroom 32 pinout,110,50.35595149760399,54,22
43,nodemcu esp32 pinout,90,4.3153099974,33,23
44,esp32 wifi,90,8.949149027999999,99,48
45,esp32 github,90,0.0,1,19
46,esp32 dev kit,90,13.878765018,100,44
47,esp32 devkit,90,13.878765018,100,49
48,esp32 schematic,90,17.890714031399998,33,28
49,esp32 web server,90,0.0,1,14
50,esp32 tutorials,90,0.0,3,19
51,esp32 gpio pins,90,0.0,8,16
52,esp32 tutorial,90,3.2080424057999997,6,21
53,esp32 lora,90,0.0834242706,49,33
54,esp32 board manager,70,0.0,1,14
55,esp32 wrover b,70,11.228072580053999,100,44
56,esp32 cam project,70,2.7530009297999998,51,29
57,esp32 camera arduino,70,0.0,21,20
58,esp32 cam datasheet,70,5.938291261799999,53,30
59,esp32 forum,70,0.0,1,18
60,esp32 price in india,70,24.033773957399998,74,28
61,esp32 ota,50,0.0,1,19
62,esp32 arduino examples,50,0.0,6,16
63,esp32 microcontroller,50,6.370580664,92,46
64,esp32 bluetooth example,50,0.0,1,13
65,esp32 devkit v1 schematic,50,0.0,10,9
66,esp32 wifi range,50,6.896305249271999,84,39
67,esp32 india,50,9.070493421599998,33,28
68,esp32 devkit v1 pinout,50,0.0,1,6
69,esp32 mqtt,50,0.0,4,20
70,esp32 features,40,15.880947512399999,60,37
71,esp32 chip,40,4.2015496284,100,49
72,esp32 led blink,40,0.0,5,15
73,esp32 ethernet,40,118.07304802888902,53,35
74,esp32 devkitc v4,40,9.334417477679999,100,44
75,esp32 freertos,40,8.381181425706,69,39
76,esp32 cam schematic,40,0.0,43,26
77,esp32 library,40,0.0,3,19
78,esp32 lyrat,40,27.8485383312,88,45
79,esp32 power supply,40,4.651813168902,62,32
80,esp32 bluetooth arduino,40,0.0,42,26
81,esp32 analog input,40,0.0,26,21
82,esp32 with arduino,40,6.716336345514,48,28
83,esp32 arduino setup,40,0.0,15,18
84,esp32 home automation,40,5.3239852692,93,42
85,esp32 interrupt pins,30,0.0,1,14
86,esp32 vs nodemcu,30,3.9267804171419995,94,42
87,esp32 power consumption,30,0.0,2,14
88,how to install esp32 in arduino,30,0.0,5,7
89,esp32 wiki,30,0.0,1,19
90,esp32 software serial,30,0.0,1,13
91,getting started with esp32,30,0.0,1,5
92,esp32 programming guide,30,0.0,37,25
93,esp32 touch sensor,30,0.0,61,32
94,esp32 wroom datasheet,30,63.3721095576,4,15
95,esp32 arduino board manager,30,11.315364703199998,22,12
96,esp32 adc,30,0.0,38,30
97,esp32 getting started,30,0.0,1,13
98,spiff esp32,30,0.0,1,18
99,esp32 not connecting to wifi,20,0.0,35,16
100,esp32 ai thinker,20,3.919348073034,100,44
101,esp32 cost,20,86.1996427155363,89,45
102,blynk esp32,20,0.0,7,21
103,esp32 adafruit,20,343.9431716316693,86,45
104,esp32 spi example,20,0.0,3,15
105,esp32 aws iot,20,94.4666104176,18,19
106,esp32 eclipse,20,0.0,1,18
107,esp32 module datasheet,20,11.457641004695999,100,44
108,esp32 alexa,20,0.0,8,21
109,wemos esp32,20,491.2661740936206,95,47
110,esp32 ram,20,2.403832437216,79,42
111,esp32 wifi module,20,459.99233389956316,100,44
112,esp32 spi,20,0.0,20,25
113,esp32 spiffs,20,0.0,1,18
114,stm32 vs esp32,20,0.0,35,24
115,learn esp32 with arduino ide pdf,20,0.0,21,12
116,esp32 technical reference manual,20,0.0,1,6
117,programming esp32,20,0.0,62,37
118,esp32 bluetooth classic,20,0.0,6,15
119,esp32 development board india,20,9.525534897599998,100,36
120,esp32 display,20,3.2753885442479995,100,49
121,esp32 rtc,20,0.0,14,23
122,esp32 to esp32 communication,20,0.0,1,5
123,esp32 examples,20,0.0,1,19
124,esp32 i2c,20,0.0,7,21
125,powering esp32 with battery,20,0.0,89,32
126,ttgo esp32 lora,20,3.9017531359619997,99,43
127,nodemcu vs esp32,20,6.982611449219999,15,18
128,esp32 install,20,0.0,31,28
129,esp32 iot projects,20,2.727291086406,61,32
130,esp32 mqtt broker,20,9.152249206788,4,15
131,esp32 uart example,20,0.0,1,14
132,esp32 development board schematic,20,74.30068900619999,9,8
133,esp32 development board pinout,20,0.0,23,13
134,programing esp32,20,19.736286417809996,59,36
135,esp32 38 pin pinout,20,0.914330005776,23,13
136,esp32 http server,20,0.0,1,13
137,esp32 arduino core,20,0.0,28,22
138,esp32 with arduino ide,20,0.0,22,12
139,esp32 hardware design guidelines,20,0.0,5,7
140,esp32 amazon,20,1.7215735842,100,49
141,esp32 buy india,20,8.3955152322,100,44
142,ttgo esp32,20,213.33143868197425,60,37
143,esp32 temperature sensor,20,0.0,13,18
144,esp32 pico kit,20,405.98982241045337,59,31
145,esp32 eagle library,20,0.0,3,14
146,doit esp32 devkit v1 pinout,20,0.0,32,15
147,esp32 ide,20,3.0866980122,7,21
148,esp32 with gsm module,20,3.3034494352679995,100,36
149,esp32 documentation,20,0.0,1,18
150,esp32 video streaming,20,0.0,1,14
151,esp32 gateway,20,69.89049540763192,37,30
152,esp32 ethernet shield,20,4.547229469667999,100,44
153,esp32 sd card,20,449.48154596953276,39,25
154,how to install esp32 in arduino ide,20,0.0,1,6
155,esp32 library for arduino ide,20,0.0,1,5
156,esp32 oled,20,207.26035062947028,88,45
157,esp32 development kit,20,0.0,21,20
158,esp32 flash memory,20,4.83709088988,78,37
159,esp32 debugger,20,161.841871520064,90,46
160,esp32 range,20,0.0,3,19
161,esp32 sdk,20,0.0,1,19
162,esp32 pico,20,1615.990648689551,51,34
163,esp32 38 pin,20,7.10395584282,100,44
164,esp32 devkitc v4 pinout,20,5.498114474016,37,17
165,esp32 with lora,20,1.447335254664,100,44
166,esp32 mesh,20,0.0,6,21
167,esp32 google assistant,20,0.0,11,17
168,esp32 vs esp32s,20,0.0,2,14
169,esp32 spi pins,20,0.0,13,17
170,home automation using esp32,20,0.0,1,6
171,doit esp32 devkit v1,20,6.887280259998,99,35
172,esp32 jtag pins,10,7.45850899287,45,27
173,esp32 without usb,10,0.0,100,44
174,esp32 rmt,10,0.0,1,18
175,esp32 for sale,10,0.0,1,13
176,sim800l esp32,10,0.0,1,18
177,esp32 with oled,10,2.86638209757,100,44
178,tinypico esp32,10,0.0,29,27
179,dht11 esp32,10,0.0,19,24
180,esp32 microphone,10,252.7397229600813,39,30
181,datasheet esp32,10,68.18129123695199,80,43
182,esp32 5v relay,10,0.0,42,26
183,esp32 kicad,10,0.0,1,18
184,esp32 enc28j60,10,0.0,6,20
185,esp32 with ethernet,10,5.423184310968,100,44
186,esp32 can,10,0.0,66,39
187,esp32 development,10,719.5081605677279,37,30
188,esp32 devkitv1,10,0.0,55,35
189,esp32 azure iot,10,35.03212643232,87,40
190,espressif esp32 development board,10,0.0,71,27
191,esp32 obd2,10,0.0,10,22
192,esp32 development board dimensions,10,0.0,100,36
193,esp32 12v,10,0.0,1,18
194,doit esp32 devkit v1 schematic,10,0.0,20,12
195,esp32 xtaskcreate,10,0.0,1,18
196,ttgo camera esp32,10,0.0,1,13
197,esp32 cam box,10,0.0,100,44
198,programming esp32 cam,10,0.0,1,13
199,esp32 javascript,10,0.0,1,18
200,esp32 sleep,10,0.0,1,18
201,idf esp32,10,0.0,1,18
202,internet of things projects with esp32,10,0.0,16,11
203,jtag esp32,10,0.0,27,27
204,esp32 3d model,10,0.0,1,13
205,esp32 gps,10,0.0,17,24
206,esp32 i2c arduino,10,0.0,9,16
207,learn esp32 with arduino ide,10,0.0,42,18
208,adafruit esp32,10,6.5753493282,95,47
209,esp32 vga,10,0.0,3,20
210,jtag debugger for esp32,10,7.788186542231999,100,36
211,iot projects using esp32,10,0.0,23,12
212,programming esp32 with python,10,0.0,8,8
213,oled display esp32,10,0.0,65,33
214,esp32 keyboard,10,0.0,1,18
215,lorawan esp32,10,2.2372872569999998,99,48
216,esp32 high resolution camera,10,0.0,1,5
217,face recognition esp32,10,0.0,14,18
218,esp32 hid,10,0.0,1,18
219,bootloader esp32,10,0.0,1,18
220,esp32 json parser,10,0.0,1,13
221,esp32 breakout board,10,303.4654564117651,92,41
222,esp32 online,10,4.349210587362,100,49
223,wifi connect esp32,10,0.0,100,44
224,esp32 arduino home automation,10,0.0,2,6
225,esp32 nodemcu price,10,3.232007923536,100,44
226,mfrc522 esp32,10,0.0,1,18
227,esp32 nrf24l01,10,0.0,8,21
228,esp32 uart pins,10,0.0,9,16
229,esp32 core board,10,0.0,1,13
230,esp32 ov2640,10,0.0,21,25
231,esp32 can bus pins,10,0.0,16,10
232,makerfocus esp32 development board,10,0.0,1,5
233,vibration sensor esp32,10,0.0,1,13
234,esp32 5ghz,10,0.0,12,22
235,esp32 mpu 9250,10,0.0,14,18
236,esp32 for beginners,10,0.0,14,18
237,esp32 deep sleep,10,336.5129391002808,6,16
238,esp32 with camera,10,138.40783287640718,58,31
239,analog read esp32,10,0.0,1,13
240,esp32 4mb,10,3.855111384672,100,49
241,esp32 button,10,0.0,42,31
242,esp32 operating system,10,0.0,1,13
243,esp32 for arduino,10,0.0,84,39
244,esp32 c programming,10,16.606207784897997,63,33
245,esp32 youtube,10,0.0,1,18
246,esp32 aliexpress,10,32.277608697599995,76,42
247,pwm esp32,10,0.0,23,26
248,micropython esp32 and esp8266 pdf,10,0.0,2,6
249,esp32 capacitive touch,10,0.0,52,29
250,esp32 huzzah,10,0.0,1,18
251,esp32 vs raspberry pi,10,0.0,44,19
252,esp32 raspberry pi,10,0.0,45,27
253,esp32 json,10,0.0,1,18
254,tensorflow esp32,10,0.0,1,18
255,esp32 mesh example,10,0.0,1,13
256,lora with esp32,10,2.133992841948,100,44
257,esp32 iot,10,0.0,11,22
258,esp32 7 inch display,10,0.0,100,36
259,esp32 queue,10,0.0,1,18
260,micropython programming with esp32 and esp8266 ebook,10,0.0,17,11
261,touch sensor esp32,10,0.0,2,14
262,esp32 nodemcu datasheet,10,7.466699739437999,73,35
263,best esp32 development board,10,0.0,85,31
264,mqtt esp32,10,0.0,1,18
265,esp32 bootloader,10,0.0,1,18
266,internet of things projects with esp32 pdf,10,81.267146483022,16,10
267,esp32 nfc,10,0.0,1,18
268,esp32 nodemcu pinout,10,0.0,1,13
269,esp32 3g,10,0.0,1,18
270,esp32 versions,10,0.0,89,45
271,esp32 zephyr,10,0.0,1,18
272,esp32 and esp8266 difference,10,0.0,40,18
273,rmt esp32,10,0.0,1,18
274,esp32 user manual,10,39.23026324965,52,29
275,esp32 clock speed,10,0.0,1,14
