No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"esp8266 vs esp32",140,"$3.93",78,37
2,"esp8266 and arduino",70,"$4.79",48,28
3,"esp8266 vs nodemcu",30,"$0",4,15
4,"esp8266 vs arduino",20,"$0",3,14
5,"esp8266 vs esp8285",10,"$0",59,31
6,"esp8266 and esp32",10,"$0",61,32
7,"esp8266 vs raspberry pi",10,"$0",6,7
8,"esp8266 vs nrf24l01",10,"$0","00",13
9,"esp8266 vs esp12e",0,"$0","00","00"
10,"esp8266 like ethernet",0,"$0","00","00"
11,"esp8266 facebook like counter",0,"$0","00","00"
12,"esp8266 and thingspeak",0,"$0","00","00"
13,"esp8266 vs zigbee",0,"$0","00","00"
14,"esp8266 vs esp8266ex",10,"$0",23,20
15,"esp8266 vs stm32",10,"$0","00",13
16,"esp8266 and dht11",10,"$0","00",13
17,"esp8266 and mit app inventor 2",10,"$0","00",5
18,"esp8266 and mqtt",10,"$0",7,16
19,"esp8266 and firebase",10,"$0",5,15
20,"esp8266 and android app",10,"$0","00",5
21,"esp8266 and arduino connection",10,"$0",2,6
22,"esp8266 and gsm module",0,"$0","00","00"
23,"esp8266 and nodemcu difference",0,"$0","00","00"
