No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"esp8266 with arduino",1900,"$3.74",28,22
2,"esp8266 for arduino",1900,"$3.74",28,22
3,"esp8266 to arduino",1900,"$3.74",28,22
4,"esp8266 to arduino uno",210,"$3.34",59,23
5,"esp8266 for arduino uno",210,"$3.34",59,23
6,"esp8266 with arduino uno",210,"$10.73",62,24
7,"esp8266 with arduino ide",170,"$0",8,8
8,"esp8266 with relay",110,"$3.97",100,44
9,"esp8266 to raspberry pi",50,"$0.22",24,13
10,"esp8266 with arduino mega",30,"$0",56,22
11,"esp8266 with battery",30,"$2.80",85,39
12,"esp8266 to arduino connection",20,"$0",7,8
13,"esp8266 to thingspeak",10,"$0","00",13
14,"esp8266 for proteus",10,"$0","00",13
15,"esp8266 for beginners",10,"$0",29,22
16,"esp8266 with alexa",10,"$0",33,23
17,"esp8266 for sale",10,"$0","00",13
18,"esp8266 without wifi",10,"$0",29,22
19,"esp8266 to google sheets",10,"$0","00",5
20,"esp8266 to firebase",10,"$0","00",13
21,"esp8266 for arduino ide",10,"$0",6,7
22,"esp8266 to mysql",10,"$0","00",13
23,"esp8266 with arduino nano",10,"$2.83",46,19
24,"esp8266 without router",10,"$0",14,18
25,"esp8266 without arduino",10,"$0",69,34
26,"esp8266 without internet",10,"$0",48,28
27,"esp8266 for dummies",10,"$0",12,17
28,"esp8266 with blynk",10,"$0",27,22
29,"esp8266 without ftdi",0,"$0","00","00"
30,"esp8266 without blynk",0,"$0","00","00"
31,"is esp8266 fcc certified",0,"$0","00","00"
32,"esp8266 without usb",0,"$0","00","00"
33,"esp8266 without port forwarding",0,"$0","00","00"
34,"esp8266 for fritzing",0,"$0","00","00"
35,"is esp8266 reliable",0,"$0","00","00"
36,"esp8266 to arduino ide",0,"$0","00","00"
37,"esp8266 near me",0,"$0","00","00"
38,"esp8266 without arduino ide",0,"$0","00","00"
39,"is esp8266 secure",0,"$0","00","00"
40,"esp8266 without at commands",0,"$0","00","00"
41,"is esp8266 a microcontroller",0,"$0","00","00"
42,"is esp8266 programmable",0,"$0","00","00"
43,"is esp8266 5v tolerant",0,"$0","00","00"
44,"is esp8266 arm",0,"$0","00","00"
45,"is esp8266 open source",0,"$0","00","00"
46,"esp8266 with firebase",10,"$0",2,14
47,"esp8266 is not responding",10,"$0","00",5
48,"esp8266 to database",0,"$0","00","00"
49,"esp8266 for industrial use",0,"$0","00","00"
50,"esp8266 for commercial use",0,"$0","00","00"
51,"is esp8266 a arduino",0,"$0","00","00"
