No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"esp8266 how to program",320,"$6.50",97,34
2,"what is esp8266 wifi module",90,"$5.67",43,19
3,"esp8266 where to buy",90,"$4.24",100,36
4,"esp8266 how to use",50,"$0",22,12
5,"how esp8266 wifi module works",20,"$0",76,28
6,"how esp8266 works",20,"$0",2,14
7,"esp8266 how to connect to arduino",10,"$0",29,14
8,"can esp8266 work without arduino",10,"$0","00",5
9,"which esp8266 is best",10,"$0","00",5
10,"which esp8266 to buy",10,"$407.20",75,28
11,"esp8266 how to connect",10,"$0","00",5
12,"esp8266 can't setup ssl connection",10,"$0","00",5
13,"which esp8266 to choose",10,"$0","00",5
14,"why esp8266 is not connecting to wifi",10,"$0","00",5
15,"esp8266 how to flash",10,"$0",7,8
16,"esp8266 can bus",10,"$0","00",13
17,"esp8266 how to connect to wifi",10,"$0","00",5
18,"what is esp8266 arduino",10,"$0",57,23
19,"esp8266 can't connect to wifi",10,"$0","00",5
20,"why i hate esp8266",0,"$0","00","00"
21,"esp8266 how much flash",0,"$0","00","00"
22,"esp8266 how much timers",0,"$0","00","00"
23,"esp8266 how much ram",0,"$0","00","00"
24,"esp8266 which pins to use",0,"$0","00","00"
25,"esp8266 can't connect to server",0,"$0","00","00"
26,"esp8266 how many clients",0,"$0","00","00"
27,"can esp8266 be hacked",0,"$0","00","00"
28,"esp8266 which version",0,"$0","00","00"
29,"can esp8266 replace arduino",0,"$0","00","00"
30,"how many uart in esp8266",0,"$0","00","00"
31,"can esp8266 connect to internet",0,"$0","00","00"
32,"what esp8266 can do",0,"$0","00","00"
33,"esp8266 how much resistor",0,"$0","00","00"
34,"esp8266 which firmware",0,"$0","00","00"
35,"how many analog pins in esp8266",0,"$0","00","00"
36,"esp8266 which gpio",0,"$0","00","00"
37,"why we use esp8266",0,"$0","00","00"
38,"why esp8266 is used",0,"$0","00","00"
39,"how much current does esp8266 draw",0,"$0","00","00"
40,"what is esp8266 used for",0,"$0","00","00"
41,"why flash esp8266",0,"$0","00","00"
42,"esp8266 will not flash",0,"$0","00","00"
43,"why esp8266 is better",0,"$0","00","00"
44,"how many clients can esp8266 handle",0,"$0","00","00"
45,"what does esp8266 do",0,"$0","00","00"
46,"which esp8266 for arduino",0,"$0","00","00"
47,"how much power does esp8266 use",0,"$0","00","00"
48,"esp8266 can't upload",0,"$0","00","00"
49,"esp8266 what is spiffs",0,"$0","00","00"
50,"esp8266 how many gpio",0,"$0","00","00"
51,"esp8266 how many leds",0,"$0","00","00"
52,"which esp8266 do i have",0,"$0","00","00"
53,"how many sensors esp8266",0,"$0","00","00"
54,"esp8266 will not connect to wifi",0,"$0","00","00"
55,"esp8266 can't flash",0,"$0","00","00"
56,"esp8266 how many interrupts",0,"$0","00","00"
57,"what is esp8266 module",0,"$0","00","00"
58,"esp8266 what can you do",0,"$0","00","00"
59,"how many gpio pins on esp8266",0,"$0","00","00"
60,"how esp8266 smartconfig works",0,"$0","00","00"
61,"how esp8266 module works",0,"$0","00","00"
62,"esp8266 which one to buy",0,"$0","00","00"
63,"esp8266 what pins to use",0,"$0","00","00"
64,"are esp8266 safe",0,"$0","00","00"
65,"where to buy esp8266 wifi module",0,"$0","00","00"
66,"esp8266 how much cpu",0,"$0","00","00"
67,"esp8266 what is lua",0,"$0","00","00"
68,"esp8266 how much memory",0,"$0","00","00"
69,"esp8266 how many pins",0,"$0","00","00"
