No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"hm 10 bluetooth module",140,"$2.00",100,36
2,"hm-10 bluetooth module",90,"$4.81",100,44
3,"hm 10 bluetooth module datasheet",20,"$0",14,10
4,"hm 10 bluetooth module range",20,"$0",4,7
5,"bluetooth 4.0 hm-10 master slave module",10,"$0",29,14
6,"bluetooth module hm-10 for arduino (master slave)",10,"$0",14,10
7,"hm-10 bluetooth 4.0 module",10,"$0","00",5
8,"bluetooth module hm-10 for arduino",10,"$0","00",5
9,"hm 10 bluetooth module arduino",10,"$0","00",5
10,"hm 10 bluetooth module at command",10,"$0","00",5
11,"hm-10 ble 4.0 bluetooth module",0,"$0","00","00"
12,"hm-10 bluetooth 4 ble modules",0,"$0","00","00"
13,"hm-10 ble bluetooth 4.0 cc2540 cc2541 serial wireless module",0,"$0","00","00"
14,"bluetooth module hm-10 ble 4.0 cc2540",0,"$0","00","00"
15,"hm-10 ble bluetooth 4.0 cc2541 wireless module",0,"$0","00","00"
16,"hm-10 bluetooth low energy module",0,"$0","00","00"
17,"hm-10 bluetooth module pdf",0,"$0","00","00"
18,"hm-10 c2541 bluetooth 4.0 module",0,"$0","00","00"
19,"hm-10 bluetooth module pinout",0,"$0","00","00"
20,"bluetooth v4.0 hm-10 ble module",0,"$0","00","00"
21,"hm 10 bluetooth module pairing",0,"$0","00","00"
22,"hm 10 bluetooth module arduino library",0,"$0","00","00"
23,"hm-10 bluetooth module price",0,"$0","00","00"
24,"hm 10 bluetooth module code",0,"$0","00","00"
