No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"hm-10 bluetooth module",90,"$4.81",100,44
2,"hm 10 bluetooth module datasheet",20,"$0",14,10
3,"hm 10 bluetooth module range",20,"$0",4,7
4,"hm 10 bluetooth module arduino",10,"$0","00",5
5,"hm 10 bluetooth module at command",10,"$0","00",5
6,"hm-10 bluetooth module pdf",0,"$0","00","00"
7,"hm-10 bluetooth module pinout",0,"$0","00","00"
8,"hm 10 bluetooth module pairing",0,"$0","00","00"
9,"hm 10 bluetooth module arduino library",0,"$0","00","00"
10,"hm-10 bluetooth module price",0,"$0","00","00"
