No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"esp 01 vs 01s",10,"$0","00",5
2,"esp 01 vs esp32",10,"$0",29,14
3,"esp-01 vs nodemcu",10,"$0","00",13
4,"esp 01 vs esp01s",10,"$0",7,8
5,"using esp-01 and arduino uno",10,"$0","00",5
6,"esp-01 vs esp-12e",10,"$0","00",13
7,"esp 01 vs esp 12",10,"$0",29,14
8,"esp-01 vs esp-07",0,"$0","00","00"
9,"esp-01 vs esp-03",0,"$0","00","00"
10,"esp-01 and arduino uno",0,"$0","00","00"
11,"esp-01 vs nrf24l01",0,"$0","00","00"
12,"esp 01 and ds18b20",0,"$0","00","00"
13,"esp-01 vs esp-12f",0,"$0","00","00"
14,"esp-01 or esp-01s",0,"$0","00","00"
15,"esp-01 and dht11",0,"$0","00","00"
16,"esp-01 and arduino",0,"$0","00","00"
17,"esp 01 and esp01s",0,"$0","00","00"
