No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"esp 01",720,"$0.03",46,32
2,"esp 01 pinout",480,"$2.49",35,24
3,"esp8266 01 pinout",210,"$0.49",30,23
4,"esp 01 programmer",110,"$4.34",100,44
5,"esp8266 esp 01",110,"$4.11",100,44
6,"esp 01 programming",110,"$1.81",96,42
7,"esp 01 esp8266",110,"$0",64,33
8,"esp 01 arduino",90,"$4.41",67,33
9,"esp 01 datasheet",90,"$4.69",64,33
10,"esp8266 01 datasheet",90,"$7.11",48,28
11,"esp 01 wifi module",50,"$0",51,21
12,"esp 01 adapter",40,"$3.19",100,44
13,"esp8266 01 arduino",40,"$0",38,25
14,"esp 01 pins",30,"$4.28",77,36
15,"esp 01 with arduino",30,"$0",5,7
16,"esp 01 module",20,"$3.24",100,44
17,"esp 01 relay",20,"$1.95",100,44
18,"esp 01 price",20,"$0",64,33
19,"esp 01 projects",20,"$0",36,24
20,"esp 01 schematic",20,"$0",3,14
21,"esp 01 usb adapter",10,"$0",100,36
22,"esp-01/01s",10,"$0",100,62
23,"esp8266 01 programming",10,"$0",90,41
24,"esp 01 5v",10,"$0",86,39
25,"esp 01 uart programmer",10,"$0",81,30
26,"esp 01 bluetooth",10,"$0",74,36
27,"esp 01 4 relay",10,"$0",71,27
28,"esp 01 wifi module arduino",10,"$0",65,25
29,"esp 01 vcc",10,"$0",57,31
30,"esp-01/01s relay",10,"$0",57,36
31,"esp 01 s",10,"$0",50,29
32,"esp 01 with arduino uno",10,"$3.34",43,18
33,"esp 01 8266",10,"$0",40,26
34,"esp 01 wiring",10,"$0",39,25
35,"esp 01 circuit",10,"$0",36,24
36,"esp 01 uart",10,"$0",29,22
37,"esp 01 vs esp32",10,"$0",29,14
38,"esp 01/01s relay module tutorial",10,"$0",29,14
39,"esp-01 vs esp-12",10,"$0",29,22
40,"esp 01 vs esp 12",10,"$0",29,14
41,"esp 01 wifi",10,"$0",24,21
42,"esp 01 breakout board",10,"$0",24,13
43,"esp 01 power supply",10,"$0",19,11
44,"esp 01 ch_pd",10,"$0",14,18
45,"esp-01 3d printer",10,"$0",14,18
46,"esp-01 with relay",10,"$0",14,18
47,"esp 01 relay control",10,"$0",14,10
48,"esp 01 board",10,"$0",14,18
49,"esp 01 firmware",10,"$0",13,17
