No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"how to flash esp-01 firmware",0,"$0","00","00"
2,"how to program esp 01 with arduino",10,"$0","00",5
3,"how to power esp-01",10,"$0","00",5
4,"how to program esp-01",10,"$0","00",5
5,"how to connect esp 01 to arduino",10,"$0","00",5
6,"how to program esp 01 with arduino uno",10,"$0","00",5
7,"what is esp 01",0,"$0","00","00"
8,"how to use esp-01 adapter",0,"$0","00","00"
9,"how to use esp 01 with arduino",0,"$0","00","00"
10,"how to reset esp 01",0,"$0","00","00"
11,"how to connect esp 01 to arduino uno",0,"$0","00","00"
