No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,esp 01,720,4.901455939600001,99,48
1,esp 01 pinout,480,2.4922657320000003,35,24
2,esp8266 esp 01,110,4.1084622976,100,44
3,esp 01 programmer,110,4.3350319096000005,100,44
4,esp 01 programming,110,1.8050045756000002,95,42
5,esp 01 datasheet,90,4.689990968400001,63,33
6,arduino esp 01,90,6.683803554,63,33
7,esp 01 arduino,90,4.4105551136,66,33
8,esp 01 wifi module,50,0.0,51,21
9,esp 01 adapter,40,3.1941783899760003,100,44
10,esp8266 esp 01 pinout,30,0.0,1,5
11,esp 01 pins,30,4.279597877864,76,36
12,esp 01 relay,20,1.9548426123360003,100,44
13,esp 01 module,20,3.2399454516,100,44
14,esp 01 price,20,0.0,64,33
15,esp 01 projects,20,0.0,36,24
16,esp8266 vs esp 01,10,0.0,100,36
17,arduino esp 01 adapter tutorial,10,0.0,1,5
18,esp 01 with arduino uno,10,3.336162013496,42,18
19,nodemcu vs esp 01,10,4.28707467506,71,27
20,esp 01 usb,10,0.0,100,44
21,esp8266 esp 01 relay,10,0.0,1,5
22,esp8266 esp 01 arduino library,10,0.0,1,5
23,esp 01 power supply,10,0.0,19,11
24,esp 01 at commands,10,0.0,3,6
25,pinout esp 01,10,0.0,7,16
26,arduino esp 01 tutorial,10,0.0,14,10
27,esp 01 wifi module arduino,10,0.0,64,25
28,arduino esp 01 mqtt,10,0.0,14,10
29,arduino esp 01 wifi,10,0.0,100,36
30,arduino uno esp 01,10,0.0,71,27
31,arduino mega esp 01,10,0.0,57,23
32,arduino mega 2560 esp 01,0,0.0,1,4
33,home automation using esp 01,0,0.0,1,4
34,flashing esp 01 using arduino,0,0.0,1,4
35,programmer esp 01,0,0.0,1,12
36,arduino uno and esp 01 connection,0,0.0,1,4
37,esp 01 bmp280,0,0.0,1,12
38,roomba esp 01,0,0.0,1,12
39,nrf24l01 vs esp 01,0,0.0,1,4
40,esp 01 flash board,0,0.0,1,4
41,arduino esp 01 blynk,0,0.0,1,4
42,arduino flash esp 01,0,0.0,1,4
43,arduino and esp 01,0,0.0,1,4
44,arduino esp 01 connection,0,0.0,1,4
45,web server esp 01,0,0.0,1,4
46,esp 01 soil moisture sensor,0,0.0,1,4
47,esp 01 without arduino,0,0.0,1,4
48,esp 01 baud rate,0,0.0,1,4
